source_id;source_name;dataset_id;title;url;country_scope;access_type;brazil_filter;candidate_target_fields;target_fit_score;implementation_status;license;notes;retrieved_at
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/FBSGZZ;"Dados de ""Efeito do uso da terra e relevo na distribuição espacial e vertical de carbono do solo em uma  bacia hidrográfica agrícola""";https://doi.org/10.60502/SoilData/FBSGZZ;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;medium;implemented;;Neste trabalho foram investigadas as relações entre o uso da terra e relevo com os teores de carbono orgânico total (COT) do solo a fim de entender os padrões de distribuição espacial e vertical de C em uma bacia hidrográfica agrícola da região central do estado do Rio Grande do Sul. Amostras de solo foram coletadas em 57 pontos, em cinco camadas: 0-5, 5-10, 10-20, 20-40, 40-60 cm, totalizando 285 amostras. A grade de amostragem foi distribuída em diferentes classes de uso da terra (mata, área ú;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/OXT1PI;Estoques de carbono para a região dos Campos de Altitude no sul do Brasil;https://doi.org/10.60502/SoilData/OXT1PI;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;high;implemented;;A expansão agrícola em vegetaçao natural no Brasil geralmente causa grandes mudanças nos estoques de C orgânico do solo (SOC). Os dados aqui apresentados foram coletados com o objetivo de refinar as estimativas de estoques SOC existentes para os Campos de Cima da Serra do estado do Rio Grande do Sul. Os dados são oriundos de amostragem de solo em campo para obter dados SOC primários, complementados por fontes de dados secundários (pesquisas publicadas e projetos de pesquisa). O estudo de campo a;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/NSZ9WW;"Dados de ""Modelos preditivos para carbono orgânico por espectrorrametria em solos da Caatinga""";https://doi.org/10.60502/SoilData/NSZ9WW;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;medium;implemented;;Dados de 54 amostras com 54 camadas. Dados brutos e georreferenciados. Parsed 54 target rows from SoilData tabular files.;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/YOHSMZ;Impacto da Mudança de Uso da Terra nos Estoques de Carbono e Nitrogênio em Solos Nordestinos: Espectroscopia e Fracionamento;https://doi.org/10.60502/SoilData/YOHSMZ;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;high;implemented;;Foram coletadas amostras de solo de 180 perfis coletados até 100 cm de profundidade, totalizando aproximadamente 1118 amostras de camadas com 10 ou 20 cm de espessura, abrangendo diferentes usos da terra e classes de solo na grande área do bioma Caatinga. As concentrações de carbono (C) e nitrogênio (N) totais foram determinadas utilizando um analisador elemental, que permite quantificar esses elementos de forma precisa. Parsed 701 target rows from SoilData tabular files.;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/NIIMSF;Comparação de carbono orgânico do solo entre plantio direto e mata nativa no município de Santa Helena - PR;https://doi.org/10.60502/SoilData/NIIMSF;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;high;implemented;;Dados de amostras de solo coletadas nas profundidades de 0-20 cm e 80-100 cm, porém, em alguns pontos por impedimento da rocha as profundidades chegam até 20-40 cm, 40-50 cm e 40-60 cm. Foram selecionados 20 locais distintos no município de Santa Helena, Paraná, no ano de 2023. O procedimento envolveu a seleção de dez regiões em colaboração com o IDR-PR, abrangendo áreas de plantio direto e mata nativa dentro da mesma propriedade. As amostras de solo foram coletadas a uma distância de 30 metros ;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/MLGSXV;Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação;https://doi.org/10.60502/SoilData/MLGSXV;Brasil;dataverse_search_result;native_brazil_repository;described in dataset metadata;medium;catalog_only;;O presente conjunto de dados foi elaborado a partir de estudo desenvolvido como parte do curso de Química do Solo do Programa de Pós-graduação em Ciência do Solo da Universidade Federal de Santa Maria (PPGCS-UFSM) no ano de 2011, conduzida pelo professor Danilo Rheinheimer dos Santos. Os dados foram produzidos a partir da análise de um conjunto de 105 amostras, coletadas em diferentes locais do Estado do Rio Grande do Sul (RS), por outros pesquisadores do PPGCS-UFSM e do Programa de Pós-graduaçã;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/RCYUYZ;Dados do solo da área de captação do Reservatório do DNOS/CORSAN, Santa Maria, RS;https://doi.org/10.60502/SoilData/RCYUYZ;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;high;implemented;;Dados observacionais da granulometria, carbono, complexo sortivo e densidade de 400 amostras de solo (0-20 cm) coletadas entre 2009 e 2012. Inclui a descrição dos locais de amostragem (uso da terra, classificação do solo, drenagem etc.) e resultados de repetições laboratoriais. Parsed 400 target rows from SoilData tabular files.;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/DXANQD;Solo da Sub-Bacia do Rio Giruazinho, Giruá, RS;https://doi.org/10.60502/SoilData/DXANQD;Brasil;dataverse_search_result;native_brazil_repository;described in dataset metadata;high;catalog_only;;Compreende dados do solo de 263 observações realizadas entre 2013 e 2015 na sub-bacia do Rio Giruazinho, localizada no município de Giruá no Estado do Rio Grande do Sul, Brasil. Esses dados foram produzidos para dar subsídio a projetos de pesquisa que visam a produção de mapas digitais detalhados de propriedados do solo, como teor de argila e carbono orgânico no solo. Todos os locais de observação foram selecionados intencionalmente. Várias características ambientais foram descritas nos locais d;2026-07-12T02:02:24Z
mapbiomas_soc;MapBiomas Soil Organic Carbon Stock Training Data;doi:10.60502/SoilData/IUZOAK;Training Field Soil Data for Annual Mapping of Soil Organic Carbon Stock (0–30 cm) in Brazil, 1985–2024 (MapBiomas Soil Collection 3, Beta Version);https://doi.org/10.60502/SoilData/IUZOAK;Brazil;dataverse_api;native_brazil_dataset;id, coord_x, coord_y, data_ano, profund_sup, profund_inf, carbono, dsi, vrc, soc_stock_gm2;high;implemented;CC BY 4.0;"Dataverse file id 843; Collection 3 has 16,013 georeferenced points and 31,047 soil layers; target is layer SOC stock in g/m2.";2026-07-12T02:02:24Z
bdsolos_embrapa;SISolos / BD Solos Embrapa;bdsolos_public_carbono_organico;BD Solos public query filtered by organic carbon;https://www.bdsolos.cnptia.embrapa.br;Brazil;public_web_form_csv_export;native_brazil_system;organic carbon, layer depth, coordinates, bulk density, coarse fragments;high;implemented;Embrapa public query terms;Parsed 14356 target rows from public BD Solos CSV exports across 210 selected trabalhos.;2026-07-12T02:02:24Z
hybras_sgb;HYBRAS - SGB;hybras_v1_2020;Hydrophysical Database for Brazilian Soils (HYBRAS) version 1.0;https://www.sgb.gov.br/hybras;Brazil;official_sgb_zip_xlsx;native_brazil_database_reliable_sample_coordinates;organic carbon, organic matter, bulk density, layer depth, coordinates, texture, particle density, porosity, water retention, saturated conductivity;high;implemented;not_specified_in_package;"Parsed 631 georeferenced carbon horizons with measured bulk density; excluded 262 target-capable horizons whose coordinates are municipality/state centroids; 145 carbon values were derived from organic matter using factor 1.724. Raw samples: 1075.";2026-07-12T02:02:24Z
wosis_brazil;WoSIS latest Brazil subset;wosis_latest_orgc;WoSIS latest Organic carbon filtered to Brazil;https://maps.isric.org/mapserv?map=/map/wosis_latest.map&SERVICE=WFS&REQUEST=GetFeature&TYPENAMES=wosis_latest_orgc;Brazil;ogc_wfs_geojson;wfs_bbox_and_country_name_brazil;organic carbon, layer depth, coordinates, sample date;high;implemented;feature_level_license;Parsed 18367 target rows from WFS layer wosis_latest_orgc, filtered to Brazil.;2026-07-12T02:02:24Z
israd_brazil;ISRaD Brazil subset;israd_flat_layer;ISRaD flat layer records filtered to Brazil;https://github.com/International-Soil-Radiocarbon-Database/ISRaD/raw/main/ISRaD_data_files/database/ISRaD_database_files.zip;Brazil;github_zip_csv_download;coordinate_bbox_filter;layer organic carbon, total carbon, bulk density, coarse fragments, layer depth, profile coordinates;medium;implemented;CC BY 4.0;Parsed 1058 target rows from ISRaD flat layer CSV, filtered to Brazil bbox.;2026-07-12T02:02:24Z
siga_go_solos_ibge;SIGA-GO Solos - IBGE;geonode:solos_ibge_recorte20;Solos - IBGE;https://siga.meioambiente.go.gov.br/catalogue/#/dataset/423;Brazil: Goias;geonode_api_wfs;native_goias_layer;soil order, texture, horizon, relief, stoniness;low;catalog_only;not_specified;"Mapeamento de solos do Brasil, a partir de compilações (Embrapa, IBGE) e conversão para o meio digital de levantamentos de solos produzidos pelo Projeto RADAMBRASIL.  Data: 2019  Escala: 1:250.000 Local shapefile found: shp_bytes=26558112, dbf_bytes=19010084, prj=GEOGCS[""SIRGAS 2000"",DATUM[""D_SIRGAS_2000"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degre";2026-07-12T02:02:24Z
